날짜,요일,날씨,영업여부,손님수,주문건수,매출액,객단가
2026-04-14,화,맑음,영업,53,48,483400,10071
2026-04-15,수,폭염,영업,61,50,455100,9102
2026-04-16,목,흐림,영업,64,54,489400,9063
2026-04-17,금,맑음,영업,77,63,528600,8390
2026-04-18,토,흐림,영업,96,78,722400,9262
2026-04-19,일,흐림,영업,82,73,720700,9873
2026-04-20,월,폭염,영업,44,37,345600,9341
2026-04-21,화,맑음,영업,62,55,555900,10107
2026-04-22,수,흐림,영업,57,50,454400,9088
2026-04-23,목,맑음,영업,63,57,500400,8779
2026-04-24,금,맑음,영업,95,82,718400,8761
2026-04-25,토,맑음,영업,119,105,989800,9427
2026-04-26,일,흐림,영업,89,75,724400,9659
2026-04-27,월,맑음,영업,52,43,391100,9095
2026-04-28,화,폭염,영업,59,52,487600,9377
2026-04-29,수,흐림,영업,66,57,544900,9560
2026-04-30,목,흐림,영업,56,45,395600,8791
2026-05-01,금,흐림,영업,87,75,638400,8512
2026-05-02,토,흐림,영업,125,105,1012500,9643
2026-05-03,일,맑음,영업,104,94,823000,8755
2026-05-04,월,휴무,휴무,0,0,0,0
2026-05-05,화,맑음,영업,61,51,457100,8963
2026-05-06,수,맑음,영업,65,54,444100,8224
2026-05-07,목,맑음,영업,69,59,550400,9329
2026-05-08,금,폭염,영업,76,64,548400,8569
2026-05-09,토,흐림,영업,105,91,902500,9918
2026-05-10,일,맑음,영업,112,97,884700,9121
2026-05-11,월,폭염,영업,47,41,401100,9783
2026-05-12,화,흐림,영업,58,52,485100,9329
2026-05-13,수,맑음,영업,67,57,533900,9367
2026-05-14,목,맑음,영업,63,53,506100,9549
2026-05-15,금,비,영업,69,62,587700,9479
2026-05-16,토,흐림,영업,119,104,965500,9284
2026-05-17,일,폭염,영업,83,68,664900,9778
2026-05-18,월,비,영업,39,32,267300,8353
2026-05-19,화,맑음,영업,57,52,509400,9796
2026-05-20,수,비,영업,45,37,325600,8800
2026-05-21,목,맑음,영업,63,53,511400,9649
2026-05-22,금,흐림,영업,85,74,627400,8478
2026-05-23,토,맑음,영업,122,106,1004500,9476
2026-05-24,일,맑음,영업,116,102,954500,9358
2026-05-25,월,흐림,영업,54,48,440900,9185
2026-05-26,화,폭염,영업,59,52,450600,8665
2026-05-27,수,맑음,영업,62,55,461600,8393
2026-05-28,목,맑음,영업,63,51,448600,8796
2026-05-29,금,맑음,영업,93,84,835500,9946
2026-05-30,토,맑음,영업,124,110,938700,8534
2026-05-31,일,맑음,영업,107,88,743700,8451
2026-06-01,월,휴무,휴무,0,0,0,0
2026-06-02,화,맑음,영업,72,59,532900,9032
2026-06-03,수,흐림,영업,71,61,606400,9941
2026-06-04,목,맑음,영업,73,63,595400,9451
2026-06-05,금,폭염,영업,88,80,685900,8574
2026-06-06,토,맑음,영업,128,109,1001800,9191
2026-06-07,일,맑음,영업,118,102,884000,8667
2026-06-08,월,맑음,영업,60,53,464100,8757
2026-06-09,화,폭염,영업,60,53,462600,8728
2026-06-10,수,맑음,영업,73,63,581400,9229
2026-06-11,목,폭염,영업,71,63,601400,9546
2026-06-12,금,흐림,영업,102,89,770200,8654
2026-06-13,토,비,영업,103,84,740900,8820
2026-06-14,일,맑음,영업,107,89,842200,9463
2026-06-15,월,맑음,영업,61,50,441100,8822
2026-06-16,화,폭염,영업,61,52,472600,9088
2026-06-17,수,흐림,영업,60,54,471900,8739
2026-06-18,목,비,영업,49,42,378600,9014
2026-06-19,금,흐림,영업,96,82,751700,9167
2026-06-20,토,맑음,영업,122,110,1101300,10012
2026-06-21,일,흐림,영업,117,99,877200,8861
2026-06-22,월,맑음,영업,67,57,505900,8875
2026-06-23,화,맑음,영업,61,51,459600,9012
2026-06-24,수,맑음,영업,73,60,573900,9565
2026-06-25,목,맑음,영업,76,66,569900,8635
2026-06-26,금,흐림,영업,103,92,864200,9393
2026-06-27,토,흐림,영업,117,97,967200,9971
2026-06-28,일,흐림,영업,100,87,794700,9134
2026-06-29,월,폭염,영업,55,50,440600,8812
2026-06-30,화,폭염,영업,53,48,455100,9481
2026-07-01,수,흐림,영업,73,66,592200,8973
2026-07-02,목,흐림,영업,76,66,576400,8733
2026-07-03,금,맑음,영업,86,71,689400,9710
2026-07-04,토,흐림,영업,115,99,937500,9470
2026-07-05,일,비,영업,78,70,654200,9346
2026-07-06,월,휴무,휴무,0,0,0,0
2026-07-07,화,맑음,영업,66,57,535900,9402
2026-07-08,수,흐림,영업,69,62,585900,9450
2026-07-09,목,맑음,영업,74,66,621900,9423
2026-07-10,금,맑음,영업,93,76,621400,8176
2026-07-11,토,폭염,영업,127,105,905200,8621
2026-07-12,일,비,영업,83,68,592400,8712
