메뉴명,카테고리,시그니처,판매가,원가,개당마진,마진율(%),총판매량,총매출,총마진,매출비중(%)
너츠라떼 + 피칸파이 세트,세트,O,8500,3400,5100,60.0,960,8160000,4896000,14.9
너츠라떼,커피,O,5500,1900,3600,65.5,1135,6242500,4086000,11.4
아메리카노,커피,,4000,1100,2900,72.5,1247,4988000,3616300,9.1
피칸파이,디저트,O,5000,1700,3300,66.0,904,4520000,2983200,8.3
피칸 아인슈페너 + 피칸파이 세트,세트,O,9000,3800,5200,57.8,530,4770000,2756000,8.7
피칸 아인슈페너,커피,O,6500,2300,4200,64.6,569,3698500,2389800,6.8
카페라떼,커피,,4500,1500,3000,66.7,775,3487500,2325000,6.4
헤이즐넛 콜드브루,커피,,5500,1700,3800,69.1,514,2827000,1953200,5.2
치아바타 샌드위치(리코타바질),사이드,,7500,2900,4600,61.3,401,3007500,1844600,5.5
치아바타 샌드위치(햄치즈),사이드,,8500,3300,5200,61.2,350,2975000,1820000,5.4
바스크 치즈케이크,디저트,,6000,2100,3900,65.0,431,2586000,1680900,4.7
자몽에이드,논커피,,5500,1600,3900,70.9,370,2035000,1443000,3.7
흑임자 라떼,논커피,,5800,2000,3800,65.5,278,1612400,1056400,3.0
올리브 치아바타,사이드,,4000,1200,2800,70.0,367,1468000,1027600,2.7
제철 과일 티,논커피,,5500,1500,4000,72.7,206,1133000,824000,2.1
디카페인 아메리카노,커피,,4500,1300,3200,71.1,251,1129500,803200,2.1
