품목,분류,단위,현재고,안전재고,상태,단가,거래처,최근발주일,누적발주건수,누적발주금액
버터,베이커리,kg,2.00,2.00,발주필요,12000,골목베이커리,2026-07-10,29,1738560
치아바타(냉동),베이커리,개,40.00,40.00,발주필요,1300,골목베이커리,2026-07-10,29,3843073
피칸파이 시트,베이커리,개,22.00,25.00,발주필요,2100,골목베이커리,2026-07-10,29,3757971
종이 빨대,부자재,개,180.00,200.00,발주필요,22,패키지마켓,2026-06-16,3,50684
바질 페스토,부재료,kg,0.80,1.00,발주필요,15000,한들식자재,2026-07-10,5,171900
디카페인 원두,원두,kg,2.00,2.00,발주필요,32000,골목로스터스,2026-07-10,7,1152320
리코타 치즈,유제품,kg,1.20,1.50,발주필요,9500,데일리유업,2026-07-10,29,1060770
너츠 페이스트,견과,kg,2.50,2.00,정상,26000,너트하우스,2026-07-10,7,872300
피칸(생),견과,kg,3.20,3.00,정상,34000,너트하우스,2026-07-10,7,1780920
헤이즐넛 시럽,견과,병,4.00,3.00,정상,9800,너트하우스,2026-07-10,7,498820
냅킨,부자재,개,900.00,500.00,정상,11,패키지마켓,2026-06-16,3,71164
컵홀더,부자재,개,400.00,300.00,정상,45,패키지마켓,2026-06-16,3,176085
테이크아웃컵(12oz),부자재,개,320.00,300.00,정상,90,패키지마켓,2026-06-16,3,336036
테이크아웃컵(16oz),부자재,개,260.00,250.00,정상,110,패키지마켓,2026-06-16,3,291011
자몽청,부재료,kg,3.00,2.50,정상,8500,한들식자재,2026-07-10,5,263330
흑임자 페이스트,부재료,kg,1.50,1.00,정상,18000,한들식자재,2026-07-10,5,242280
하우스 블렌드 원두,원두,kg,8.50,6.00,정상,28000,골목로스터스,2026-07-10,7,2891280
생크림,유제품,L,5.00,4.00,정상,6800,데일리유업,2026-07-10,29,1879928
슬라이스 치즈,유제품,팩,6.00,5.00,정상,4200,데일리유업,2026-07-10,29,1539006
우유(1L),유제품,L,24.00,20.00,정상,2400,데일리유업,2026-07-10,29,3545952
